"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Gunsight Pass","944	","Wyoming","SNOTEL","Sublette","9820","43.38332","-109.87815","170401020102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","10",,,"56","56","91","18","19","-8","10","19","3",,,,"18","18","9","31","1999, 2009","2013","21"
"Gutz Peak","1065	","Utah","SNOTEL","Washington","6763","37.49617","-113.94235","150100100101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-3","41","11","1","Lowest",,,"4","3","0","19","2017, 2020, 2021, more","2019","18"
"Hagans Meadow","508	","California","SNOTEL","El Dorado","7742","38.8519","-119.9374","160501010302	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-5","13","21","1","Lowest",,,"10","5","0","43","2008, 2011, 2021, more","2001","24"
"Hams Fork","509	","Wyoming","SNOTEL","Lincoln","7840","42.146","-110.67833","140401070504	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"10","10","100","2","2","-9","0","12","1","Lowest",,,"10","10","1","16","2021","2010","12"
"Hand Creek","510	","Montana","SNOTEL","Flathead","5035","48.30754","-114.84075","170102100304	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"30","33","43","7","7","-6","5","20","1","Lowest",,,"10","9","3","19","2019, 2021","2013","21"
"Hannagan Meadows","511	","Arizona","SNOTEL","Greenlee","9020","33.65387","-109.30952","150601010107	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"6","4","0","21","2012, 2014, 2017, more","2004","20"
"Hansen Sawmill","512	","Wyoming","SNOTEL","Johnson","8360","44.25602","-106.97983","100902060101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","7",,,"78","78","39","19","21","-2","44","11","7",,,,"9","9","5","16","2004, 2006, 2009","2013","19"
"Happy Jack","969	","Arizona","SNOTEL","Coconino","7630","34.74598","-111.41207","150602020604	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"4","1","0","13","2014, 2017, 2020, more","2004","20"
"Hardscrabble","896	","Utah","SNOTEL","Morgan","7250","40.86833","-111.71865","160201020105	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-12","0","18","1","Lowest",,,"12","12","0","25","2021","2005, 2018","18"
"Harris Flat","514	","Utah","SNOTEL","Kane","7792","37.48997","-112.57602","160300010104	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-1","39","12","1","Lowest",,,"4","1","0","21","2016, 2017, 2021, more","2019","19"
"Hart Mountain AM","1218	","Oregon","SNOLITE","Lake","6480","42.47972","-119.71917","171200080501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0",,,"0","0","0","56","5","1","Lowest",,,"2","0","0","6","2015, 2020, 2021, more","2019","10"
"Harts Pass","515	","Washington","SNOTEL","Okanogan","6490","48.72047","-120.6586","171100050501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"41","43","9","65","2002","2001","21"
"Hawkins Lake","516	","Montana","SNOTEL","Lincoln","6450","48.9723","-115.95337","170101050201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","13",,,"50","50","65","15","15","-13","8","23","2","2nd Lowest",,,"26","26","11","44","2008","1998","25"
"Hawley Lake","1271	","Arizona","SNOTEL","Apache","8300","33.97142","-109.76528","150601020106	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"29","29","100","5","5","-5","33","5","2","2nd Lowest",,,"7","7","0","15","2017","2019","7"
"Hayden Fork","517	","Utah","SNOTEL","Summit","9130","40.79669","-110.88472","160101010101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"21","23","75","5","6","-10","0","24","1","Lowest",,,"14","13","3","32","2021","2005","24"
"Hayden Pass","1102	","Colorado","SNOTEL","Saguache","10720","38.29326","-105.8505","130100030301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"36","57","80","5","7","-3","29","11","5",,,,"11","7","0","34","2012","2011","15"
"Heavenly Valley","518	","California","SNOTEL","El Dorado","8534","38.92431","-119.91641","160501010302	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-11","9","21","1","Lowest",,,"14","11","0","42","2007, 2008, 2021","2001","23"
"Heber","519	","Arizona","SNOTEL","Coconino","7640","34.31202","-110.75431","150200100201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"50","100","100","4","4","0","72","6","10",,,,"2","1","0","11","2015, 2017, 2020, more","2011","19"
"Hedrick Lake","1A14P	","British Columbia","Cooperator Snow Sensors","	","3668","54.1","-121","	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"34","36","0","100","2009","2008","20"
"Heen Latinee","1270	","Alaska","SNOTEL","Juneau","2065","58.69652","-134.86448","190103010401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"14","16","0","23","2018","2019","6"
"Hemlock Butte","520	","Idaho","SNOTEL","Clearwater","5810","46.48111","-115.63361","170603070601	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","16",,,"50","52","84","12","12","-15","10","20","3",,,,"32","31","9","58","2008","2001","22"
"Henrys Fork","1193	","Utah","SNOLITE","Summit","10182","40.86313","-110.38145","140401060201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","6",,,"40","40","100","10","10","-9","0","10","1","Lowest",,,"15","15","6","22","2021","2019","10"
"Hewinta","521	","Utah","SNOTEL","Summit","9500","40.95009","-110.48419","140401070203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"18","18","40","5","5","-9","0","23","1","Lowest",,,"11","11","2","21","2021","2005","23"
"Hickerson Park","522	","Utah","SNOTEL","Daggett","9122","40.90663","-109.96287","140401060501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","5",,,"45","45","83","13","13","-6","15","18","4",,,,"11","11","2","24","2007, 2008","2011, 2019","21"
"Hidden Lake","988	","Idaho","SNOTEL","Boundary","5040","48.8937","-116.75748","170101040502	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","12",,,"38","38","60","12","12","-20","5","21","2","2nd Lowest",,,"32","32","5","53","2008","2003","22"
"High Lonesome","1187	","Colorado","SNOTEL","Grand","10620","40.03592","-105.75471","140100010205	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","16",,,"80","89","89","23","23","-2","12","8","2","2nd Lowest",,,"20","18","12","29","2017","2018","9"
"High Ridge","523	","Oregon","SNOTEL","Umatilla","4920","45.69682","-118.10657","170701030103	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"14","17","22","3","2","-10","6","17","2","2nd Lowest",,,"14","12","0","32","2008","2006, 2010","18"
"Hilts Creek","524	","Idaho","SNOTEL","Custer","8000","44.01897","-113.4723","170402170401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"25","27","38","6","6","-8","0","18","1","Lowest",,,"12","11","3","30","2021","2012","18"
"Hobble Creek","1223	","Utah","SNOTEL","Utah","7377","40.18538","-111.35971","160202020304	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-8","0","10","1","Lowest",,,"8","8","0","24","2021","2018","10"
"Hobbs Park","525	","Wyoming","SNOTEL","Fremont","10100","42.86984","-109.09455","100800030207	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","15",,,"75","75","71","21","23","-5","41","11","7",,,,"20","20","11","36","2007","2017","18"
"Hogg Pass","526	","Oregon","SNOTEL","Linn","4790","44.42042","-121.85655","170900040201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"6","9","11","1","1","-10","11","18","2","2nd Lowest",,,"16","11","0","47","2008","2005","20"
"Hole-in-Mountain","527	","Nevada","SNOTEL","Elko","8163","40.94168","-115.0954","160600071602	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-11","5","19","1","Lowest",,,"11","11","0","27","2008, 2021","2001","20"
"Hole-in-Rock","528	","Utah","SNOTEL","Summit","9168","40.92167","-110.18623","140401060205	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"18","18","29","5","5","-9","5","20","1","Lowest",,,"11","11","2","23","2007, 2021","2019","21"
"Holland Meadows","529	","Oregon","SNOTEL","Lane","4930","43.66917","-122.56877","170900020201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-5","12","15","1","Lowest",,,"12","5","0","36","2012, 2014, 2021","2005","17"
"Hood River 0.8 SW","ORHR0007	","Oregon","ACIS","Hood River","527","45.7003","-121.5321","170701051106	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"0","0","0","0","2016","2016","1"
"Hood River Exp Stn","354003	","Oregon","ACIS","Hood River","500","45.6847","-121.5175","170701050703	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"1","0","0","11","2010, 2018, 2019, more","1985","85"
"Hoodoo Basin","530	","Montana","SNOTEL","Mineral","6050","46.9751","-115.0349","170102040607	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","16",,,"50","50","94","13","13","-16","11","18","2","2nd Lowest",,,"32","32","7","53","2008","2005","20"
"Hoosier Pass","531	","Colorado","SNOTEL","Summit","11400","39.36127","-106.05978","140100020101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","12",,,"67","63","92","19","19","-7","14","13","3",,,,"18","19","4","28","2012","2018","15"
"Hopewell","532	","New Mexico","SNOTEL","Rio Arriba","10000","36.71631","-106.26348","130201021401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"15","16","2","26","2017","2011","20"
"Horse Meadow","1050	","California","SNOTEL","Alpine","8557","38.83652","-119.88732","160502010302	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-8","11","17","1","Lowest",,,"12","8","0","31","2007, 2008, 2021","2019","19"
"Horse Ridge","533	","Utah","SNOTEL","Morgan","8199","41.31372","-111.44624","160201010601	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"6","6","14","2","2","-16","0","19","1","Lowest",,,"17","17","1","36","2021","2005","19"
"Horsepasture Pass","1264	","Alaska","SNOLITE","Matanuska-Susitna","4300","62.1345","-147.625","190205011406	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"14","12","6","30","2016","2019","6"
"Hourglass Lake","1122	","Colorado","SNOTEL","Larimer","9380","40.57913","-105.63068","101900070101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","6",,,"46","50","100","9","11","-6","8","13","2","2nd Lowest",,,"13","12","2","26","2012","2011","14"
"Howard Prairie","1158	","Oregon","SNOTEL","Jackson","4580","42.215","-122.3713","180102060401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-1","33","7","1","Lowest",,,"2","1","0","7","2013, 2014, 2021, more","2019","10"
"Howell Canyon","534	","Idaho","SNOTEL","Cassia","7980","42.32029","-113.61587","170402090602	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","9",,,"47","56","82","11","12","-7","10","19","2","2nd Lowest",,,"19","16","6","44","2008","2001","21"
"Hozatka Lake","2210	","Alaska","SNOTEL","Yukon-Koyukuk","206","65.198","-156.635","190901091201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","5",,,"71","62","100","19","18","-3","17","6","2","2nd Lowest",,,"7","8","2","11","2016","2018","7"
"Hozomeen Camp","991	","Washington","SNOTEL","Whatcom","1690","48.98075","-121.07976","171100050602	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"100",,"50","7","8","1","74","6","12",,,,"1","0","0","6","2018, 2019, 2020, more","2010","20"
"Hubbard Brook","2069	","New Hampshire","SCAN","Grafton","1480","43.93333","-71.71667","010700010205	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"150","150","100","11","12","1","80","4","9",,,,"2","2","0","7","2011, 2013, 2015","2018","16"
"Huckleberry Creek","928	","Washington","SNOTEL","Pierce","2250","47.06565","-121.58778","171100140307	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0",,"0","0","0","0","50","13","1","Lowest",,,"2","0","0","13","2018, 2020, 2021, more","2001","25"
"Humboldt Gulch","535	","Idaho","SNOTEL","Shoshone","4250","47.53178","-115.77643","170103020102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"9","10","3","14","2019","2020","8"
"Huntington Horse","1216	","Utah","SNOTEL","Sanpete","9652","39.61774","-111.30576","140600070201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"25","30","25","5","5","-7","11","9","1","Lowest",,,"12","10","3","28","2017, 2021","2018","10"
"Hyndman","537	","Idaho","SNOTEL","Blaine","7620","43.71077","-114.15894","170402190402	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"27","27","50","6","7","-8","6","18","2","2nd Lowest",,,"11","11","1","31","2008","2012","19"
"Idarado","538	","Colorado","SNOTEL","Ouray","9800","37.9339","-107.67552","140200060201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","6",,,"46","43","50","10","11","-8","12","16","3",,,,"13","14","3","22","2017","2013","18"
"Imnaviat Creek","968	","Alaska","SNOTEL","North Slope","3050","68.61683","-149.30017","190604010702	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","11",,,"65","61","85","32","34","-7","11","9","2","2nd Lowest",,,"17","18","8","24","2018","2014","10"
"Independence Camp","539	","California","SNOTEL","Sierra","6980","39.45269","-120.29367","160501020102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-3","20","17","1","Lowest",,,"6","3","0","29","2007, 2008, 2021, more","2001","21"
"Independence Creek","540	","California","SNOTEL","Sierra","6436","39.49001","-120.28226","160501020102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-4","18","19","1","Lowest",,,"6","4","0","24","2008, 2014, 2021, more","2001","23"
"Independence Lake","541	","California","SNOTEL","Nevada","8338","39.42752","-120.31342","160501020104	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","16",,,"64","80","41","13","13","-4","30","17","8",,,,"25","20","1","68","2007","1998","24"
"Independence Mine","1091	","Alaska","SNOTEL","Matanuska-Susitna","3550","61.79117","-149.27967","190205051202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","29",,,"100","112","97","43","43","3","60","7","10",,,,"29","26","7","59","2012","2019","16"
"Independence Pass","542	","Colorado","SNOTEL","Pitkin","10600","39.07539","-106.61169","140100040101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","15",,,"79","71","88","16","23","-6","27","12","5",,,,"19","21","3","31","2012","2008","16"
"Indian Canyon","543	","Utah","SNOTEL","Duchesne","9171","39.89166","-110.74604","140600040701	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-10","11","18","1","Lowest",,,"10","10","0","24","2008, 2017, 2021","2019","20"
"Indian Creek","544	","Wyoming","SNOTEL","Lincoln","9425","42.30023","-110.67753","140401070502	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","20",,,"83","80","91","24","26","-5","33","5","3",,,,"24","25","19","30","2015, 2020","2017","7"
"Indian Pass","946	","Alaska","SNOTEL","Anchorage","2350","61.06767","-149.4795","190204010402	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","46",,,"148","144","98","61","61","14","85","3","12",,,,"31","32","8","51","2016","2011","14"
"Indian Rock","1129	","Washington","SNOTEL","Klickitat","5360","45.99077","-120.80767","170701060301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"8","11","25","1","1","-8","15","12","2","2nd Lowest",,,"13","9","0","34","2008","2012","14"
"Irish Taylor","545	","Oregon","SNOTEL","Deschutes","5540","43.80368","-121.94793","170703010106	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"24","22","4","57","2008","2005","16"
"Island Park","546	","Idaho","SNOTEL","Fremont","6290","44.4203","-111.38512","170402020601	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"23","25","43","6","6","-9","0","23","1","Lowest",,,"13","12","3","36","2021","2001","23"
"Ivanhoe","547	","Colorado","SNOTEL","Pitkin","10400","39.29202","-106.54923","140100040501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","15",,,"75","79","88","22","22","-4","17","20","5",,,,"20","19","8","41","2012","2005","24"
"JL Meadow","1287	","Montana","SNOTEL","Beaverhead","8800","44.77665","-113.12217","100200011202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","14",,,"93","93","74","26","27","-1","33","3","2","2nd Lowest",,,"15","15","13","17","2020","2018","4"
"Jack Creek Upper","548	","Nevada","SNOTEL","Elko","7377","41.54675","-116.00517","170501050201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"8","8","14","2","2","-11","9","22","3",,,,"13","12","0","30","2007, 2008","2001","24"
"Jack Wade Jct","1275	","Alaska","SNOTEL","Southeast Fairbanks","3585","64.1529","-141.32693","190705022204	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"19","19","13","25","2016","2015","6"
"Jacks Peak","549	","Nevada","SNOTEL","Elko","8424","41.5136","-116.0117","170501050201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"22","22","36","5","5","-14","5","21","1","Lowest",,,"18","18","4","43","2020, 2021","2001","22"
"Jackson Peak","550	","Idaho","SNOTEL","Boise","7070","44.05092","-115.44322","170501200304	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","6",,,"26","30","55","7","7","-14","0","26","1","Lowest",,,"23","20","6","48","2021","2001","26"
"Jackwhacker Gulch","935	","Colorado","SNOTEL","Clear Creek","10960","39.56667","-105.8","101900020201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"22","15","1","180","2012","2005","23"
"Jahnke Lake Trail","456	","Montana","SNOLITE","Beaverhead","7200","45.21665","-113.50143","100200040301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"14","12","14","2","2","-7","0","4","1","Lowest",,,"7","8","1","10","2021","2018, 2020","4"
"Jakes Creek","1211	","Nevada","SNOTEL","Elko","7380","41.5687","-115.03243","170402130308	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"6","6","0","13","2020","2018","9"
"Joe Wright","551	","Colorado","SNOTEL","Larimer","10120","40.53215","-105.887","101900070204	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"24","24","8","38","2012","2010","17"
